gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,total_services,income_per_tenure
0,0,0,1,17,1,0,0,0,0,1,1,1,64.7,1093.1,1,False,False,False,False,False,False,False,False,True,3,3.5944444444444446
0,1,1,0,71,1,1,1,1,1,0,0,1,96.35,6766.95,0,False,True,True,False,False,True,True,False,False,5,1.3381944444444445
1,1,1,0,2,1,0,0,1,0,1,1,1,95.5,181.65,0,False,False,True,False,False,False,True,False,False,4,31.833333333333332
0,0,1,1,27,1,1,1,1,1,0,0,0,66.15,1874.45,0,False,False,False,False,True,False,False,False,True,5,2.3625000000000003
1,0,0,0,1,1,0,0,0,0,0,0,0,20.2,20.2,0,False,False,False,True,False,False,False,False,False,1,10.1
1,1,0,0,1,1,0,0,0,0,0,0,0,45.25,45.25,0,False,False,False,False,False,False,False,False,False,1,22.625
0,0,1,1,72,1,1,1,0,1,1,0,0,99.9,7251.7,0,False,True,True,False,False,True,False,False,False,5,1.3684931506849316
1,0,0,0,5,1,0,0,0,0,0,0,1,69.7,316.9,1,False,False,True,False,False,False,False,True,False,1,11.616666666666667
0,0,0,0,46,1,0,0,1,0,0,0,1,74.8,3548.3,0,False,False,True,False,False,False,True,False,False,2,1.5914893617021275
1,0,0,0,34,1,0,1,1,0,1,1,1,106.35,3549.25,1,False,True,True,False,False,False,False,True,False,5,3.0385714285714283
0,0,0,0,11,1,0,0,1,0,1,1,1,97.85,1105.4,1,False,True,True,False,False,False,False,False,False,4,8.154166666666667
1,0,1,1,10,1,0,1,0,0,0,0,0,49.55,475.7,0,False,False,False,False,True,False,False,False,True,2,4.504545454545454
0,0,1,1,70,1,1,1,0,0,1,0,1,69.2,4872.35,0,False,True,False,False,False,True,True,False,False,4,0.9746478873239437
0,0,1,1,17,1,0,0,0,0,0,0,0,20.75,418.25,0,False,False,False,True,True,False,False,False,True,1,1.1527777777777777
0,0,0,0,63,1,1,1,1,1,1,0,1,79.85,4861.45,0,False,True,False,False,False,True,True,False,False,6,1.24765625
0,0,1,0,13,1,1,1,0,1,1,0,1,76.2,981.45,0,False,True,False,False,False,False,False,True,False,5,5.442857142857143
0,0,0,0,49,1,0,0,0,0,0,1,1,84.5,3906.7,0,False,True,True,False,False,False,False,True,False,2,1.69
1,0,0,0,2,1,0,1,0,0,0,0,0,49.25,97.0,0,False,False,False,False,False,False,False,False,True,2,16.416666666666668
0,0,0,0,2,1,0,0,0,0,1,0,1,80.65,144.15,1,False,False,True,False,False,False,False,True,False,2,26.883333333333336
1,0,0,0,52,1,1,0,0,1,1,1,1,79.75,4217.8,0,False,True,False,False,False,True,True,False,False,5,1.5047169811320755
0,0,1,1,69,1,1,0,1,1,0,0,1,64.15,4254.1,0,False,True,False,False,False,True,True,False,False,4,0.9164285714285715
0,1,0,0,43,1,0,1,0,0,1,0,1,90.25,3838.75,0,False,True,True,False,False,False,False,True,False,3,2.0511363636363638
0,0,0,0,15,1,1,1,0,0,1,1,1,99.1,1426.4,1,False,False,True,False,False,False,True,False,False,5,6.19375
0,1,1,0,25,1,1,0,0,1,1,0,1,69.5,1752.65,0,False,True,False,False,False,False,True,False,False,4,2.673076923076923
0,1,1,0,8,1,0,1,0,0,0,0,1,80.65,633.3,1,False,True,True,False,False,False,True,False,False,2,8.961111111111112
0,1,1,1,60,1,1,1,1,1,0,1,1,74.85,4456.35,0,False,False,False,False,True,False,True,False,False,6,1.2270491803278687
1,1,0,0,18,1,0,0,0,0,1,1,1,95.45,1752.55,1,False,True,True,False,False,False,False,True,False,3,5.023684210526316
0,0,1,1,63,1,1,0,0,0,1,1,1,99.65,6311.2,0,False,True,True,False,True,False,True,False,False,4,1.55703125
1,1,1,1,66,1,0,1,1,1,1,1,1,108.45,7076.35,0,False,True,True,False,True,False,False,True,False,6,1.6186567164179104
0,0,1,1,34,1,0,0,0,0,0,0,0,24.95,894.3,0,False,True,False,True,False,True,True,False,False,1,0.7128571428571429
0,0,0,0,72,1,0,0,1,1,1,1,1,107.5,7853.7,0,False,True,True,False,False,True,True,False,False,5,1.4726027397260273
0,0,1,0,47,1,0,0,1,0,1,1,1,100.5,4707.1,0,False,True,True,False,False,False,False,True,False,4,2.09375
1,0,0,0,60,1,0,1,0,0,1,0,1,89.9,5450.7,0,False,True,True,False,False,False,False,False,False,3,1.4737704918032788
1,0,1,0,72,0,1,1,1,0,0,0,0,42.1,2962.0,0,True,False,False,False,False,True,False,False,False,3,0.5767123287671233
0,0,1,1,18,1,0,0,1,1,0,0,1,54.4,957.1,0,False,False,False,False,True,False,True,False,False,3,2.863157894736842
0,0,0,0,9,1,0,0,0,0,1,1,0,94.4,857.25,1,False,True,True,False,False,False,False,True,False,3,9.440000000000001
0,0,0,0,3,1,0,1,0,1,1,1,1,75.3,244.1,0,False,False,False,False,False,False,False,True,False,5,18.825
1,0,1,0,47,1,0,1,0,0,0,0,1,78.9,3650.35,0,False,True,True,False,True,False,False,True,False,2,1.64375
0,0,0,0,31,1,0,1,1,1,1,1,0,79.2,2497.2,0,False,False,False,False,False,True,False,False,True,6,2.475
0,0,1,1,50,1,0,0,0,0,0,0,0,20.15,930.9,0,False,False,False,True,False,True,False,False,False,1,0.39509803921568626
1,0,0,0,10,1,1,0,1,0,0,0,1,79.85,887.35,0,False,False,True,False,False,False,False,False,True,3,7.259090909090909
1,0,0,0,1,1,0,0,0,1,0,0,0,49.05,49.05,0,False,False,False,False,False,False,False,False,True,2,24.525
0,0,1,1,52,1,0,0,0,0,0,0,1,20.4,1090.65,0,False,False,False,True,True,False,False,True,False,1,0.38490566037735846
1,1,1,1,64,1,1,0,1,1,1,1,1,111.6,7099.0,0,False,True,True,False,False,True,False,False,False,6,1.7169230769230768
1,0,1,1,62,1,0,0,0,0,0,0,1,24.25,1424.6,0,False,True,False,True,False,True,False,False,False,1,0.38492063492063494
0,0,0,1,3,1,1,0,0,1,0,1,1,64.5,177.4,0,False,False,False,False,False,False,False,False,False,4,16.125
0,1,0,0,56,1,1,1,1,0,1,1,0,110.5,6139.5,0,False,True,True,False,True,False,False,True,False,6,1.9385964912280702
0,0,0,0,46,1,0,0,0,0,0,1,0,55.65,2688.85,0,False,False,False,False,True,False,True,False,False,2,1.1840425531914893
0,0,1,1,8,1,1,1,0,0,0,0,0,54.65,482.25,0,False,False,False,False,False,False,False,False,True,3,6.072222222222222
1,1,0,0,30,1,1,1,0,0,1,1,1,74.75,2111.3,0,False,False,False,False,False,False,False,True,False,5,2.411290322580645
0,0,1,1,45,1,0,0,0,0,0,0,1,25.9,1216.6,0,False,True,False,True,True,False,True,False,False,1,0.5630434782608695
0,0,0,1,1,1,0,0,0,0,1,0,1,79.35,79.35,1,False,False,True,False,False,False,False,True,False,2,39.675
0,0,1,1,11,0,1,0,0,0,1,1,0,50.55,565.35,0,True,False,False,False,False,False,False,True,False,3,4.2124999999999995
0,0,1,0,7,1,0,0,1,0,0,0,1,75.15,496.9,1,False,False,True,False,False,False,False,False,False,2,9.39375
0,0,0,0,42,1,0,1,1,1,1,1,1,103.8,4327.5,0,False,False,True,False,False,False,False,False,False,6,2.413953488372093
0,0,1,0,49,1,0,0,0,0,0,0,1,20.15,973.35,0,False,False,False,True,False,True,False,False,False,1,0.40299999999999997
1,0,0,0,9,1,0,1,0,0,1,1,1,99.3,918.75,0,False,True,True,False,False,False,True,False,False,4,9.93
0,0,1,0,35,1,1,0,0,0,1,0,1,62.15,2215.45,0,False,False,False,False,True,False,False,False,False,3,1.7263888888888888
0,0,1,1,48,1,0,0,0,0,0,0,0,20.65,1057.0,0,False,False,False,True,False,True,False,False,False,1,0.4214285714285714
0,0,1,1,46,1,0,0,0,0,0,0,1,19.95,927.1,0,False,False,False,True,False,True,False,False,True,1,0.42446808510638295
1,0,1,0,29,0,0,0,0,0,1,0,0,33.75,1009.25,0,True,False,False,False,False,False,False,False,True,1,1.125
1,0,1,1,30,1,0,1,1,0,0,0,0,82.05,2570.2,0,False,False,True,False,False,False,False,False,False,3,2.646774193548387
1,1,0,0,1,1,0,0,0,1,0,0,0,74.7,74.7,0,False,False,True,False,False,False,False,True,False,2,37.35
1,0,1,1,66,1,1,0,1,1,1,1,1,84.0,5714.25,0,False,True,False,False,False,True,False,False,True,6,1.2537313432835822
0,0,0,0,65,1,1,1,1,0,1,1,1,111.05,7107.0,0,False,True,True,False,False,False,True,False,False,6,1.6825757575757576
1,0,0,0,72,1,0,1,1,0,1,1,1,100.9,7459.05,0,False,True,True,False,False,True,False,False,False,5,1.382191780821918
0,0,0,0,12,1,1,0,0,0,0,0,1,78.95,927.35,1,False,True,True,False,False,False,False,True,False,2,6.073076923076924
1,0,1,1,71,1,1,1,0,1,0,0,1,66.85,4748.7,0,False,True,False,False,True,False,True,False,False,4,0.9284722222222221
1,0,0,0,5,1,0,0,0,0,0,0,0,21.05,113.85,1,False,False,False,True,False,False,False,False,True,1,3.5083333333333333
1,0,0,0,52,1,0,0,0,0,0,0,0,21.0,1107.2,0,False,False,False,True,False,True,False,False,False,1,0.39622641509433965
0,1,1,0,25,1,0,1,1,0,1,1,1,98.5,2514.5,1,False,False,True,False,False,False,False,True,False,5,3.7884615384615383
1,0,0,0,1,1,0,0,0,0,0,0,0,20.2,20.2,0,False,False,False,True,False,False,False,False,True,1,10.1
0,0,1,1,1,1,0,0,0,0,0,0,0,19.45,19.45,0,False,False,False,True,False,False,False,True,False,1,9.725
1,0,0,0,38,1,0,0,1,1,1,0,0,95.0,3605.6,0,False,True,True,False,True,False,False,False,False,4,2.4358974358974357
0,1,1,0,66,0,0,1,1,0,1,0,0,45.55,3027.25,0,True,False,False,False,True,False,False,False,False,3,0.6798507462686567
1,0,1,0,68,1,0,1,1,1,1,1,1,110.0,7611.85,1,False,True,True,False,False,True,False,False,False,6,1.5942028985507246
1,0,0,0,5,0,0,0,0,0,0,0,0,24.3,100.2,0,True,False,False,False,False,False,False,False,True,0,4.05
0,0,1,1,72,1,1,1,0,0,1,1,1,104.15,7303.05,0,False,True,True,False,True,False,False,True,False,5,1.4267123287671233
0,0,0,0,32,0,1,0,0,0,0,0,0,30.15,927.65,0,True,False,False,False,True,False,False,False,True,1,0.9136363636363636
1,0,0,0,43,1,0,0,0,0,1,1,0,94.35,3921.3,0,False,True,True,False,True,False,False,False,True,3,2.1443181818181816
1,0,1,1,72,1,0,0,0,0,0,0,0,19.4,1363.25,0,False,False,False,True,False,True,True,False,False,1,0.2657534246575342
1,0,1,0,55,1,1,1,0,0,1,0,1,96.75,5238.9,1,False,True,True,False,False,False,False,True,False,4,1.7276785714285714
0,0,0,0,52,1,1,0,1,1,0,0,0,57.95,3042.25,0,False,False,False,False,True,False,True,False,False,4,1.0933962264150945
0,0,0,0,43,1,0,1,1,0,1,0,1,91.65,3954.1,0,False,False,True,False,False,False,False,True,False,4,2.0829545454545455
0,1,1,0,37,1,0,0,0,0,0,0,1,76.5,2868.15,1,False,True,True,False,False,False,False,True,False,1,2.013157894736842
0,0,1,1,64,0,0,1,0,1,1,1,1,54.6,3423.5,0,True,False,False,False,False,True,False,True,False,4,0.84
1,0,1,1,3,1,1,1,0,0,1,0,0,89.85,248.4,0,False,False,True,False,False,False,False,True,False,4,22.4625
0,0,0,0,36,0,1,0,0,0,0,0,0,31.05,1126.35,0,True,False,False,False,False,True,False,False,False,1,0.8391891891891892
0,0,1,1,10,1,1,0,0,0,1,1,1,100.25,1064.65,1,False,True,True,False,False,False,False,True,False,4,9.113636363636363
0,0,0,0,41,1,0,0,0,0,0,0,0,20.65,835.15,0,False,False,False,True,False,True,False,False,True,1,0.49166666666666664
1,0,1,1,27,1,0,1,0,1,0,0,1,85.2,2151.6,0,False,True,True,False,False,False,True,False,False,3,3.042857142857143
0,0,1,1,56,1,0,0,1,0,1,1,1,99.8,5515.45,0,False,True,True,False,True,False,True,False,False,4,1.750877192982456
0,0,0,0,6,1,0,0,0,0,0,0,0,20.7,112.75,0,False,False,False,True,False,False,False,False,True,1,2.957142857142857
1,0,0,0,3,1,0,0,0,0,0,0,1,74.4,229.55,1,False,True,True,False,False,False,False,True,False,1,18.6
0,0,1,1,7,1,1,0,0,0,0,0,0,50.7,350.35,0,False,False,False,False,False,False,False,False,True,2,6.3375
0,0,1,1,4,1,0,0,0,0,0,0,0,20.85,62.9,0,False,False,False,True,False,False,False,False,True,1,4.17
1,0,0,0,33,1,1,0,0,1,1,0,1,88.95,3027.65,0,False,False,True,False,False,True,False,True,False,4,2.6161764705882353
0,1,0,0,27,1,0,0,1,0,0,0,1,78.05,2135.5,1,False,True,True,False,False,False,False,True,False,2,2.7875
1,0,1,0,72,1,0,0,0,0,0,0,1,23.55,1723.95,0,False,True,False,True,False,True,False,False,False,1,0.32260273972602743
1,0,0,0,1,1,0,0,0,0,0,0,0,19.75,19.75,0,False,False,False,True,False,False,False,False,True,1,9.875
1,1,0,0,71,0,1,1,0,0,1,1,1,56.45,3985.35,0,True,False,False,False,True,False,False,True,False,4,0.7840277777777778
0,0,0,0,13,1,0,0,0,0,0,1,1,85.95,1215.65,0,False,True,True,False,False,False,False,True,False,2,6.139285714285714
0,0,1,1,25,0,1,1,1,0,1,1,1,58.6,1502.65,1,True,False,False,False,False,False,True,False,False,5,2.253846153846154
1,0,0,0,67,1,0,0,0,1,0,0,0,50.55,3260.1,0,False,False,False,False,False,True,False,False,False,2,0.7433823529411764
1,0,0,0,1,0,0,0,0,0,0,1,1,35.45,35.45,1,True,False,False,False,False,False,False,True,False,1,17.725
1,0,0,0,2,1,0,0,0,0,0,0,0,44.35,81.25,1,False,False,False,False,False,False,False,True,False,1,14.783333333333333
0,0,0,0,43,1,0,0,0,0,0,0,1,25.7,1188.2,0,False,True,False,True,False,True,True,False,False,1,0.5840909090909091
0,0,0,0,23,1,1,0,0,0,0,0,1,75.0,1778.5,0,False,False,True,False,False,False,False,False,False,2,3.125
0,0,1,1,64,1,0,0,0,0,0,0,0,20.2,1277.75,0,False,False,False,True,False,True,False,False,True,1,0.31076923076923074
1,0,0,1,57,1,0,0,0,0,0,0,1,19.6,1170.55,0,False,False,False,True,False,True,False,False,True,1,0.33793103448275863
0,1,1,0,1,1,0,0,0,0,0,0,1,70.45,70.45,1,False,False,True,False,False,False,False,False,True,1,35.225
0,1,1,1,72,1,1,1,1,1,1,1,1,88.05,6425.65,0,False,True,False,False,False,True,True,False,False,7,1.2061643835616438
0,0,0,0,8,1,1,0,0,1,0,1,0,71.15,563.65,1,False,True,False,False,False,False,False,True,False,4,7.905555555555556
0,0,1,0,61,1,0,1,0,0,1,1,1,101.05,5971.25,0,False,True,True,False,False,True,False,False,False,4,1.6298387096774194
1,0,0,0,64,1,1,1,0,0,0,0,1,84.3,5289.05,0,False,True,True,False,True,False,True,False,False,3,1.2969230769230768
1,1,1,0,71,1,0,0,0,0,0,0,0,23.95,1756.2,0,False,True,False,True,False,True,False,False,False,1,0.3326388888888889
0,0,1,1,65,1,1,1,0,1,1,0,1,99.05,6416.7,0,False,True,True,False,False,True,True,False,False,5,1.5007575757575757
1,0,0,0,3,1,0,0,0,0,0,0,0,19.6,61.35,0,False,False,False,True,True,False,False,False,True,1,4.9
1,0,0,0,1,1,0,0,0,0,0,0,1,45.65,45.65,1,False,False,False,False,False,False,False,True,False,1,22.825
1,0,0,1,30,1,0,1,1,0,1,0,0,64.5,1929.95,0,False,False,False,False,True,False,True,False,False,4,2.0806451612903225
1,0,1,1,15,1,0,1,1,1,0,1,1,69.5,1071.4,0,False,False,False,False,False,False,False,False,True,5,4.34375
0,0,1,1,8,1,0,0,0,1,1,1,1,68.55,564.35,0,False,False,False,False,False,False,False,True,False,4,7.616666666666666
1,0,0,0,7,1,0,0,0,0,1,1,0,95.0,655.5,1,False,True,True,False,False,False,False,False,True,3,11.875
0,0,1,1,70,1,1,1,1,0,1,1,1,108.15,7930.55,0,False,True,True,False,True,False,True,False,False,6,1.5232394366197184
1,0,1,1,62,1,1,1,1,1,1,1,0,86.1,5215.25,0,False,False,False,False,False,True,False,True,False,7,1.3666666666666665
0,0,1,1,6,1,0,0,0,0,0,0,0,19.7,113.5,0,False,False,False,True,False,False,False,False,True,1,2.814285714285714
0,0,1,1,14,1,0,0,0,0,0,1,1,80.9,1152.8,0,False,False,True,False,False,False,False,False,False,2,5.3933333333333335
0,0,0,0,22,1,0,0,0,0,1,0,1,84.15,1821.95,0,False,True,True,False,False,False,False,False,False,2,3.6586956521739133
1,0,1,1,22,1,0,0,0,0,0,0,0,20.15,419.9,0,False,False,False,True,True,False,False,False,True,1,0.8760869565217391
1,0,1,1,16,1,1,0,1,0,1,0,0,64.25,1024.0,0,False,False,False,False,False,True,False,False,True,4,3.7794117647058822
1,0,0,0,10,1,0,0,0,0,0,0,0,25.7,251.6,0,False,True,False,True,False,True,False,False,False,1,2.3363636363636364
0,0,0,1,13,1,1,1,0,0,0,0,1,56.0,764.55,0,False,False,False,False,False,False,False,True,False,3,4.0
0,0,1,0,20,1,1,0,0,0,0,0,0,82.4,1592.35,1,False,True,True,False,False,False,False,True,False,2,3.923809523809524
0,0,0,0,2,1,0,0,0,0,0,0,1,69.7,135.2,0,False,False,True,False,False,False,False,True,False,1,23.233333333333334
1,0,0,0,53,1,0,1,1,1,0,1,1,73.9,3958.25,0,False,True,False,False,False,True,False,False,False,5,1.3685185185185187
0,0,1,1,11,1,0,0,0,0,0,0,0,20.6,233.9,0,False,False,False,True,True,False,False,False,True,1,1.7166666666666668
1,0,1,0,69,1,0,0,0,0,0,0,0,19.9,1363.45,0,False,False,False,True,False,True,False,False,True,1,0.28428571428571425
0,0,0,0,4,1,0,0,0,0,0,0,1,70.9,273.0,1,False,False,True,False,False,False,False,False,False,1,14.180000000000001
1,0,1,0,72,1,1,1,1,1,1,1,1,89.05,6254.45,0,False,True,False,False,False,True,False,False,False,7,1.2198630136986301
1,1,1,0,58,0,0,1,1,0,0,1,1,45.3,2651.2,1,True,False,False,False,False,False,False,True,False,3,0.7677966101694915
0,0,1,1,16,1,0,0,0,0,0,0,0,20.4,321.4,0,False,False,False,True,False,False,False,True,False,1,1.2
1,0,1,0,43,1,1,0,1,1,0,0,1,84.25,3539.25,0,False,False,True,False,True,False,False,False,False,4,1.9147727272727273
0,0,1,0,2,1,0,0,1,1,1,1,1,104.4,242.8,1,False,True,True,False,False,False,False,True,False,5,34.800000000000004
1,0,1,0,14,1,0,1,1,1,1,1,0,81.95,1181.75,0,False,False,False,False,False,True,False,False,True,6,5.463333333333334
0,0,1,0,53,1,0,0,1,0,1,1,1,94.85,5000.2,1,False,False,True,False,True,False,False,False,False,4,1.7564814814814813
0,0,0,0,32,1,0,0,0,0,0,0,0,20.55,654.55,0,False,False,False,True,True,False,False,False,False,1,0.6227272727272728
0,0,1,0,34,1,0,0,0,0,0,0,0,24.7,780.2,0,False,True,False,True,False,False,False,True,False,1,0.7057142857142857
0,1,0,0,15,1,0,0,0,0,0,0,1,74.45,1145.7,1,False,True,True,False,False,False,False,False,True,1,4.653125
0,1,0,0,7,1,1,0,0,0,0,0,0,76.45,503.6,1,False,False,True,False,False,False,False,False,False,2,9.55625
0,0,1,1,15,1,0,1,1,0,1,1,1,105.35,1559.25,0,False,True,True,False,False,False,False,False,False,5,6.584375
1,0,1,0,61,1,0,0,0,0,0,0,1,20.55,1252.0,0,False,False,False,True,True,False,True,False,False,1,0.33145161290322583
0,0,0,0,1,0,0,1,0,0,0,0,0,29.95,29.95,1,True,False,False,False,False,False,False,False,False,1,14.975
0,0,0,0,1,1,0,0,0,0,0,0,0,45.3,45.3,0,False,False,False,False,False,False,False,False,True,1,22.65
1,0,0,0,8,1,0,0,0,0,0,1,0,84.5,662.65,1,False,True,True,False,False,False,False,False,False,2,9.38888888888889
1,0,1,1,33,1,1,0,1,0,1,1,0,74.75,2453.3,0,False,False,False,False,True,False,True,False,False,5,2.198529411764706
0,0,0,0,13,1,0,1,1,0,0,0,1,79.25,1111.65,1,False,False,True,False,False,False,False,True,False,3,5.660714285714286
0,0,1,0,1,0,0,0,0,0,0,0,1,24.8,24.8,1,True,False,False,False,False,False,False,True,False,0,12.4
1,0,0,0,20,1,0,1,0,0,0,0,1,51.8,1023.85,0,False,False,False,False,False,False,False,False,True,2,2.4666666666666663
1,0,0,0,3,0,0,0,0,1,0,0,0,30.4,82.15,0,True,False,False,False,False,False,False,True,False,1,7.6
0,0,0,0,13,1,0,0,0,0,0,0,0,19.65,244.8,0,False,False,False,True,True,False,False,True,False,1,1.4035714285714285
0,0,1,0,40,1,0,1,0,0,0,0,0,56.6,2379.1,0,False,True,False,False,False,False,True,False,False,2,1.380487804878049
1,0,1,1,43,1,1,0,0,1,0,1,1,71.9,3173.35,0,False,True,False,False,True,False,True,False,False,4,1.6340909090909093
1,0,1,0,6,1,0,1,1,0,0,1,1,91.0,531.0,1,False,False,True,False,False,False,False,True,False,4,13.0
0,0,1,1,69,1,0,0,0,0,0,0,0,19.75,1375.4,0,False,False,False,True,False,True,False,False,False,1,0.28214285714285714
0,0,1,1,72,1,1,1,1,0,1,1,0,109.7,8129.3,0,False,True,True,False,False,True,True,False,False,6,1.5027397260273974
1,0,1,1,59,1,0,0,0,0,0,0,0,19.3,1192.7,0,False,False,False,True,False,True,True,False,False,1,0.32166666666666666
0,0,1,0,20,1,1,1,0,1,1,0,1,96.55,1901.65,0,False,False,True,False,False,False,False,True,False,5,4.597619047619047
1,0,1,1,24,1,0,0,0,0,0,0,1,24.1,587.4,0,False,True,False,True,False,True,False,False,False,1,0.9640000000000001
1,0,0,0,59,1,0,1,1,1,1,1,1,111.35,6519.75,0,False,True,True,False,False,False,False,True,False,6,1.8558333333333332
1,0,1,1,72,1,0,1,1,1,1,1,1,112.25,8041.65,0,False,True,True,False,False,True,False,False,False,6,1.5376712328767124
1,0,0,1,1,1,0,0,0,0,0,0,0,20.75,20.75,0,False,False,False,True,False,False,False,False,True,1,10.375
0,0,1,0,27,1,1,0,0,1,1,1,1,101.9,2681.15,0,False,False,True,False,True,False,True,False,False,5,3.6392857142857147
0,0,0,0,14,1,0,1,0,1,0,0,1,80.05,1112.3,0,False,False,True,False,False,False,True,False,False,3,5.336666666666667
1,0,1,1,71,1,1,0,1,0,1,1,0,105.55,7405.5,0,False,True,True,False,False,True,False,True,False,5,1.4659722222222222
1,0,0,1,13,1,0,0,0,0,1,0,1,78.3,1033.95,0,False,False,True,False,False,False,True,False,False,2,5.5928571428571425
1,0,0,0,44,1,0,0,0,0,0,0,0,68.85,2958.95,0,False,False,True,False,False,False,True,False,False,1,1.5299999999999998
0,0,0,0,33,1,0,1,0,1,0,0,1,79.95,2684.85,0,False,False,True,False,True,False,False,False,False,3,2.351470588235294
1,0,1,1,72,0,1,1,1,1,0,1,1,55.45,4179.2,0,True,False,False,False,False,True,True,False,False,5,0.7595890410958904
1,0,0,0,1,1,0,0,0,0,0,1,0,79.9,79.9,1,False,False,True,False,False,False,False,True,False,2,39.95
0,0,0,0,19,1,1,0,1,1,1,1,1,106.6,1934.45,1,False,False,True,False,False,False,False,True,False,6,5.33
1,0,1,0,64,1,0,1,1,1,1,1,1,102.45,6654.1,0,False,False,True,False,True,False,True,False,False,6,1.5761538461538462
1,0,0,0,2,1,0,0,0,0,0,0,1,46.0,84.5,1,False,False,False,False,False,False,True,False,False,1,15.333333333333334
